id,gender,age,province,product,Q1,Q2,Q3,Q4,Q5
75,Male,25-34,ON,Bass-O-Matic,Somewhat dissatisfied,Somewhat satisfied,Disagree,Very helpful,8
76,Female,35-54,QC,Happy Fun Ball,Somewhat dissatisfied,Somewhat dissatisfied,Disagree,Extremely helpful,5
77,Male,35-54,BC,Little Chocolate Donuts,Very dissatisfied,Very dissatisfied,Neither agree nor disagree,Extremely helpful,3
78,Male,35-54,QC,Happy Fun Ball,Neither satisfied nor dissatisfied,Very satisfied,Disagree,Somewhat helpful,4
79,Male,55-64,ON,Little Chocolate Donuts,Somewhat dissatisfied,Very dissatisfied,Disagree,Somewhat helpful,4
80,Female,65+,QC,Bass-O-Matic,Somewhat satisfied,Neither satisfied nor dissatisfied,Disagree,Very helpful,6
81,Female,25-34,AB,Little Chocolate Donuts,Very satisfied,Somewhat dissatisfied,Neither agree nor disagree,Somewhat helpful,4
82,Male,35-54,ON,Little Chocolate Donuts,Neither satisfied nor dissatisfied,Very dissatisfied,Strongly agree,Extremely helpful,10
83,Female,35-54,BC,Bass-O-Matic,Very dissatisfied,Somewhat dissatisfied,Neither agree nor disagree,Extremely helpful,3
84,Female,18-24,ON,Little Chocolate Donuts,Somewhat satisfied,Neither satisfied nor dissatisfied,Disagree,Very helpful,7
85,Female,35-54,QC,Bass-O-Matic,Somewhat dissatisfied,Very satisfied,Disagree,Extremely helpful,10
86,Female,65+,AB,Happy Fun Ball,Somewhat satisfied,Somewhat dissatisfied,Agree,Extremely helpful,10
87,Female,65+,ON,Bass-O-Matic,Very satisfied,Neither satisfied nor dissatisfied,Strongly disagree,Extremely helpful,5
88,Female,25-34,BC,Bag of Glass,Very dissatisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,Extremely helpful,6
89,Female,35-54,ON,Bass-O-Matic,Somewhat dissatisfied,Very dissatisfied,Disagree,Extremely helpful,6
90,Female,55-64,QC,Bass-O-Matic,Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,Extremely helpful,5
91,Female,65+,BC,Little Chocolate Donuts,Very satisfied,Somewhat dissatisfied,Neither agree nor disagree,Extremely helpful,2
92,Female,35-54,AB,Bass-O-Matic,Somewhat satisfied,Very satisfied,Agree,Not at all helpful,10
93,Female,35-54,AB,Bass-O-Matic,Very satisfied,Somewhat satisfied,Strongly agree,Extremely helpful,10
94,Male,35-54,QC,Happy Fun Ball,Somewhat satisfied,Very satisfied,Neither agree nor disagree,Not at all helpful,4
95,Male,25-34,QC,Bass-O-Matic,Very dissatisfied,Very dissatisfied,Strongly agree,Somewhat helpful,2
96,Male,35-54,BC,Bass-O-Matic,Somewhat dissatisfied,Somewhat satisfied,Neither agree nor disagree,Extremely helpful,4
97,Male,55-64,BC,Little Chocolate Donuts,Somewhat satisfied,Neither satisfied nor dissatisfied,Strongly disagree,Extremely helpful,2
98,Male,25-34,ON,Bag of Glass,Somewhat dissatisfied,Somewhat dissatisfied,Disagree,Somewhat helpful,9
99,Male,35-54,QC,Bass-O-Matic,Somewhat satisfied,Somewhat dissatisfied,Strongly agree,Not so helpful,8
100,Male,35-54,BC,Bass-O-Matic,Somewhat satisfied,Neither satisfied nor dissatisfied,Agree,Somewhat helpful,6
101,Female,65+,QC,Bass-O-Matic,Somewhat satisfied,Neither satisfied nor dissatisfied,Strongly agree,Very helpful,0
102,Male,18-24,BC,Bag of Glass,Somewhat satisfied,Very dissatisfied,Neither agree nor disagree,Not at all helpful,10
103,Female,18-24,BC,Bag of Glass,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Disagree,Very helpful,1
104,Female,35-54,ON,Bass-O-Matic,Very satisfied,Somewhat dissatisfied,Strongly disagree,Not at all helpful,3
105,Female,35-54,ON,Bass-O-Matic,Very dissatisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,Very helpful,7
106,Female,18-24,AB,Happy Fun Ball,Very dissatisfied,Very satisfied,Disagree,Very helpful,3
107,Male,25-34,BC,Bag of Glass,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Agree,Not so helpful,1
108,Female,35-54,ON,Happy Fun Ball,Somewhat satisfied,Very satisfied,Agree,Not at all helpful,4
109,Male,55-64,QC,Bass-O-Matic,Somewhat dissatisfied,Very satisfied,Agree,Extremely helpful,7
110,Female,65+,ON,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Agree,Somewhat helpful,3
111,Male,25-34,AB,Happy Fun Ball,Somewhat satisfied,Somewhat satisfied,Strongly agree,Extremely helpful,7
112,Male,65+,ON,Happy Fun Ball,Neither satisfied nor dissatisfied,Very dissatisfied,Strongly agree,Extremely helpful,8
113,Male,35-54,QC,Happy Fun Ball,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Strongly disagree,Very helpful,3
114,Female,18-24,BC,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Strongly disagree,Not at all helpful,9
115,Female,35-54,ON,Bass-O-Matic,Very dissatisfied,Somewhat satisfied,Strongly disagree,Very helpful,10
116,Female,35-54,BC,Bag of Glass,Very dissatisfied,Very satisfied,Agree,Somewhat helpful,9
117,Male,55-64,QC,Little Chocolate Donuts,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Disagree,Not so helpful,4
118,Female,65+,AB,Bass-O-Matic,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Strongly disagree,Not at all helpful,9
119,Female,35-54,AB,Bass-O-Matic,Neither satisfied nor dissatisfied,Very satisfied,Agree,Not so helpful,7
120,Female,35-54,ON,Little Chocolate Donuts,Somewhat dissatisfied,Very dissatisfied,Disagree,Extremely helpful,2
121,Female,55-64,AB,Bag of Glass,Very satisfied,Very satisfied,Agree,Somewhat helpful,2
122,Female,65+,AB,Bass-O-Matic,Somewhat dissatisfied,Very satisfied,Strongly agree,Somewhat helpful,6
123,Male,35-54,ON,Bass-O-Matic,Somewhat satisfied,Neither satisfied nor dissatisfied,Disagree,Somewhat helpful,6
124,Male,18-24,BC,Little Chocolate Donuts,Neither satisfied nor dissatisfied,Very dissatisfied,Strongly agree,Not so helpful,0
125,Female,25-34,AB,Little Chocolate Donuts,Very satisfied,Somewhat dissatisfied,Agree,Somewhat helpful,2
126,Male,65+,BC,Bass-O-Matic,Very dissatisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,Very helpful,7
127,Female,18-24,BC,Bass-O-Matic,Somewhat satisfied,Somewhat dissatisfied,Disagree,Extremely helpful,5
128,Male,25-34,QC,Happy Fun Ball,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Strongly agree,Extremely helpful,3
129,Female,55-64,BC,Happy Fun Ball,Very satisfied,Somewhat satisfied,Strongly agree,Very helpful,10
130,Female,25-34,QC,Bass-O-Matic,Very satisfied,Somewhat dissatisfied,Disagree,Not at all helpful,6
131,Female,35-54,AB,Happy Fun Ball,Very satisfied,Somewhat satisfied,Neither agree nor disagree,Extremely helpful,9
132,Male,35-54,QC,Bass-O-Matic,Very dissatisfied,Very satisfied,Strongly disagree,Somewhat helpful,9
133,Female,35-54,AB,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat satisfied,Agree,Not so helpful,0
134,Male,35-54,ON,Bass-O-Matic,Very dissatisfied,Somewhat dissatisfied,Strongly disagree,Very helpful,2
135,Male,18-24,ON,Happy Fun Ball,Somewhat satisfied,Very satisfied,Disagree,Not at all helpful,4
136,Male,55-64,BC,Little Chocolate Donuts,Somewhat dissatisfied,Somewhat satisfied,Strongly agree,Not at all helpful,1
137,Female,35-54,ON,Bass-O-Matic,Somewhat dissatisfied,Somewhat satisfied,Neither agree nor disagree,Not at all helpful,3
138,Female,65+,QC,Bass-O-Matic,Very dissatisfied,Neither satisfied nor dissatisfied,Strongly agree,Somewhat helpful,7
139,Female,25-34,ON,Bass-O-Matic,Somewhat satisfied,Very satisfied,Neither agree nor disagree,Extremely helpful,9
140,Female,35-54,ON,Bass-O-Matic,Very satisfied,Very dissatisfied,Neither agree nor disagree,Not so helpful,6
141,Male,55-64,AB,Little Chocolate Donuts,Somewhat satisfied,Somewhat dissatisfied,Disagree,Somewhat helpful,9
142,Female,25-34,QC,Happy Fun Ball,Somewhat dissatisfied,Somewhat satisfied,Agree,Not so helpful,2
143,Male,65+,AB,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat satisfied,Agree,Very helpful,3
144,Female,35-54,ON,Little Chocolate Donuts,Very satisfied,Somewhat dissatisfied,Neither agree nor disagree,Somewhat helpful,8
145,Male,55-64,BC,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat satisfied,Disagree,Very helpful,7
146,Male,35-54,ON,Happy Fun Ball,Very dissatisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,Extremely helpful,10
147,Male,55-64,ON,Bass-O-Matic,Somewhat dissatisfied,Somewhat satisfied,Strongly disagree,Not at all helpful,7
148,Female,65+,QC,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat satisfied,Disagree,Not so helpful,2
149,Male,35-54,ON,Bass-O-Matic,Very dissatisfied,Neither satisfied nor dissatisfied,Agree,Very helpful,6
150,Female,35-54,ON,Bag of Glass,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Strongly disagree,Extremely helpful,1
151,Male,18-24,AB,Bass-O-Matic,Somewhat dissatisfied,Very dissatisfied,Disagree,Somewhat helpful,3
152,Female,25-34,QC,Bass-O-Matic,Somewhat satisfied,Very satisfied,Disagree,Somewhat helpful,9
153,Male,35-54,BC,Bag of Glass,Very satisfied,Very dissatisfied,Strongly disagree,Somewhat helpful,4
154,Male,35-54,ON,Bass-O-Matic,Very satisfied,Somewhat dissatisfied,Disagree,Extremely helpful,2
155,Male,55-64,ON,Bag of Glass,Somewhat satisfied,Somewhat dissatisfied,Strongly disagree,Somewhat helpful,5
156,Female,25-34,QC,Bass-O-Matic,Somewhat satisfied,Somewhat satisfied,Strongly disagree,Not so helpful,5
157,Male,18-24,AB,Bass-O-Matic,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Strongly disagree,Very helpful,3
158,Male,18-24,AB,Bass-O-Matic,Very satisfied,Somewhat dissatisfied,Strongly disagree,Somewhat helpful,6
159,Female,18-24,ON,Bass-O-Matic,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,Extremely helpful,1
160,Male,55-64,ON,Little Chocolate Donuts,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Strongly agree,Not so helpful,1
161,Male,65+,BC,Bass-O-Matic,Very dissatisfied,Neither satisfied nor dissatisfied,Disagree,Not so helpful,7
162,Female,25-34,AB,Bass-O-Matic,Very satisfied,Very dissatisfied,Agree,Very helpful,9
163,Male,65+,BC,Bag of Glass,Very satisfied,Somewhat satisfied,Agree,Not so helpful,10
164,Male,25-34,QC,Bass-O-Matic,Very satisfied,Very satisfied,Agree,Somewhat helpful,5
165,Female,25-34,ON,Little Chocolate Donuts,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,Not so helpful,6
166,Male,65+,BC,Bass-O-Matic,Somewhat dissatisfied,Somewhat dissatisfied,Neither agree nor disagree,Very helpful,3
167,Male,35-54,QC,Little Chocolate Donuts,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Neither agree nor disagree,Somewhat helpful,7
168,Female,65+,ON,Little Chocolate Donuts,Very dissatisfied,Somewhat satisfied,Disagree,Not so helpful,0
169,Male,35-54,QC,Bass-O-Matic,Very satisfied,Somewhat satisfied,Disagree,Somewhat helpful,0
170,Male,18-24,ON,Bag of Glass,Somewhat dissatisfied,Somewhat satisfied,Neither agree nor disagree,Extremely helpful,1
171,Male,35-54,QC,Bass-O-Matic,Very dissatisfied,Very dissatisfied,Neither agree nor disagree,Very helpful,10
172,Male,18-24,QC,Bass-O-Matic,Very satisfied,Neither satisfied nor dissatisfied,Agree,Not so helpful,2
173,Male,65+,QC,Bass-O-Matic,Very dissatisfied,Very satisfied,Disagree,Somewhat helpful,5
174,Male,65+,AB,Happy Fun Ball,Very dissatisfied,Neither satisfied nor dissatisfied,Agree,Not at all helpful,2
175,Male,35-54,ON,Little Chocolate Donuts,Somewhat satisfied,Somewhat dissatisfied,Strongly agree,Not so helpful,5
176,Female,35-54,ON,Little Chocolate Donuts,Very satisfied,Very satisfied,Agree,Very helpful,1
177,Female,25-34,BC,Bag of Glass,Very dissatisfied,Very satisfied,Strongly disagree,Not at all helpful,9
178,Female,25-34,QC,Bass-O-Matic,Very satisfied,Somewhat satisfied,Disagree,Not so helpful,5
179,Male,65+,ON,Bass-O-Matic,Very dissatisfied,Somewhat dissatisfied,Strongly agree,Somewhat helpful,4
180,Female,55-64,ON,Bass-O-Matic,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Strongly agree,Not at all helpful,6
181,Male,35-54,ON,Bag of Glass,Somewhat satisfied,Neither satisfied nor dissatisfied,Strongly agree,Not so helpful,2
182,Female,25-34,ON,Happy Fun Ball,Very satisfied,Very satisfied,Strongly agree,Not at all helpful,6
183,Male,25-34,QC,Bass-O-Matic,Neither satisfied nor dissatisfied,Very satisfied,Disagree,Extremely helpful,1
184,Male,25-34,AB,Bass-O-Matic,Somewhat dissatisfied,Very dissatisfied,Neither agree nor disagree,Not at all helpful,10
185,Female,25-34,QC,Bass-O-Matic,Somewhat dissatisfied,Very satisfied,Neither agree nor disagree,Not so helpful,9
186,Female,35-54,ON,Little Chocolate Donuts,Somewhat satisfied,Somewhat dissatisfied,Strongly disagree,Very helpful,9
187,Male,35-54,ON,Bass-O-Matic,Somewhat satisfied,Somewhat satisfied,Agree,Extremely helpful,6
188,Female,25-34,AB,Bass-O-Matic,Very dissatisfied,Very dissatisfied,Strongly agree,Not at all helpful,5
189,Female,25-34,AB,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither agree nor disagree,Extremely helpful,10
190,Female,25-34,ON,Bass-O-Matic,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Disagree,Not so helpful,6
191,Female,25-34,QC,Happy Fun Ball,Somewhat dissatisfied,Very satisfied,Strongly agree,Somewhat helpful,7
192,Male,18-24,ON,Bass-O-Matic,Very satisfied,Somewhat dissatisfied,Agree,Somewhat helpful,2
193,Male,25-34,AB,Bag of Glass,Somewhat dissatisfied,Somewhat satisfied,Agree,Not at all helpful,0
194,Female,35-54,ON,Bass-O-Matic,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,Somewhat helpful,4
195,Male,25-34,BC,Bass-O-Matic,Very satisfied,Somewhat dissatisfied,Strongly agree,Not so helpful,7
196,Female,35-54,BC,Little Chocolate Donuts,Somewhat satisfied,Somewhat dissatisfied,Neither agree nor disagree,Very helpful,1
197,Male,18-24,ON,Bass-O-Matic,Very satisfied,Somewhat dissatisfied,Strongly disagree,Extremely helpful,2
198,Female,35-54,ON,Happy Fun Ball,Somewhat satisfied,Somewhat satisfied,Strongly agree,Extremely helpful,4
199,Male,65+,QC,Happy Fun Ball,Very satisfied,Very dissatisfied,Strongly disagree,Very helpful,10
200,Female,35-54,BC,Little Chocolate Donuts,Somewhat dissatisfied,Somewhat satisfied,Neither agree nor disagree,Not so helpful,3
201,Female,18-24,ON,Bass-O-Matic,Somewhat dissatisfied,Somewhat satisfied,Strongly disagree,Very helpful,1
202,Female,18-24,ON,Bass-O-Matic,Very satisfied,Very dissatisfied,Strongly agree,Very helpful,1
203,Female,25-34,ON,Bass-O-Matic,Somewhat satisfied,Somewhat dissatisfied,Disagree,Not so helpful,6
204,Female,25-34,ON,Bass-O-Matic,Very dissatisfied,Very dissatisfied,Strongly agree,Not so helpful,6
205,Female,55-64,QC,Bag of Glass,Very dissatisfied,Very satisfied,Strongly disagree,Somewhat helpful,6
206,Male,35-54,ON,Bag of Glass,Neither satisfied nor dissatisfied,Very dissatisfied,Neither agree nor disagree,Extremely helpful,6
207,Female,35-54,BC,Little Chocolate Donuts,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,Not so helpful,0
208,Female,25-34,QC,Bass-O-Matic,Very dissatisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,Not at all helpful,1
209,Male,18-24,BC,Little Chocolate Donuts,Somewhat satisfied,Very satisfied,Strongly disagree,Not so helpful,7
210,Female,35-54,ON,Little Chocolate Donuts,Neither satisfied nor dissatisfied,Very dissatisfied,Strongly agree,Somewhat helpful,5
211,Female,35-54,BC,Little Chocolate Donuts,Very dissatisfied,Somewhat satisfied,Agree,Extremely helpful,7
212,Female,55-64,QC,Bass-O-Matic,Somewhat dissatisfied,Very satisfied,Neither agree nor disagree,Somewhat helpful,1
213,Male,18-24,AB,Happy Fun Ball,Very satisfied,Somewhat dissatisfied,Strongly disagree,Not at all helpful,5
214,Male,35-54,BC,Bass-O-Matic,Somewhat satisfied,Very satisfied,Strongly disagree,Somewhat helpful,10
215,Male,18-24,AB,Bass-O-Matic,Somewhat dissatisfied,Somewhat dissatisfied,Neither agree nor disagree,Extremely helpful,3
216,Male,35-54,ON,Bass-O-Matic,Somewhat satisfied,Very dissatisfied,Strongly disagree,Not at all helpful,5
217,Male,35-54,ON,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Strongly agree,Very helpful,7
218,Male,35-54,AB,Bass-O-Matic,Very satisfied,Neither satisfied nor dissatisfied,Agree,Not at all helpful,1
219,Male,25-34,BC,Happy Fun Ball,Very satisfied,Very satisfied,Neither agree nor disagree,Extremely helpful,9
220,Male,65+,ON,Bass-O-Matic,Very satisfied,Neither satisfied nor dissatisfied,Disagree,Somewhat helpful,10
221,Female,25-34,QC,Bag of Glass,Neither satisfied nor dissatisfied,Very satisfied,Strongly agree,Very helpful,7
222,Female,35-54,ON,Little Chocolate Donuts,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Disagree,Not so helpful,9
223,Male,18-24,AB,Bass-O-Matic,Very satisfied,Very satisfied,Disagree,Very helpful,7
224,Male,35-54,ON,Little Chocolate Donuts,Very satisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,Not at all helpful,0
225,Female,55-64,QC,Bag of Glass,Somewhat satisfied,Neither satisfied nor dissatisfied,Strongly agree,Very helpful,1
226,Male,25-34,BC,Bass-O-Matic,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Strongly disagree,Not so helpful,2
227,Female,35-54,BC,Little Chocolate Donuts,Very dissatisfied,Very dissatisfied,Agree,Very helpful,5
228,Male,18-24,BC,Little Chocolate Donuts,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Strongly agree,Not so helpful,8
229,Female,35-54,BC,Bass-O-Matic,Somewhat dissatisfied,Very satisfied,Agree,Not at all helpful,0
230,Male,18-24,ON,Bass-O-Matic,Very dissatisfied,Somewhat satisfied,Agree,Very helpful,5
